Dish,Ingredients,Time,Tips,Recipe
Tandoori Chicken,Chicken; Yogurt; Spices; Lemon,45,Marinate for at least 2 hours,"1. Marinate chicken with yogurt and spices for 2 hours. 2. Preheat oven or grill. 3. Cook chicken until fully done and slightly charred. 4. Serve with lemon wedges."
Rogan Josh,Lamb; Yogurt; Onion; Spices; Garlic; Ginger,90,Sear meat before slow cooking,"1. Sear lamb pieces until browned. 2. Sauté onions, garlic, ginger, and spices. 3. Add lamb and yogurt, simmer 60-70 min until tender. 4. Serve with rice or naan."
Idli,Rice; Lentils; Fenugreek,20,Steam properly for fluffy idlis,"1. Soak rice and lentils with fenugreek overnight. 2. Grind to smooth batter. 3. Ferment batter 8-12 hours. 4. Pour into idli molds and steam 10-12 min. 5. Serve with chutney or sambar."
Sambar,Lentils; Tamarind; Vegetables; Spices,40,Simmer until thick,"1. Boil lentils until soft. 2. Add tamarind extract and vegetables. 3. Cook with sambar powder for 15-20 min. 4. Serve hot with rice or idli."
Palak Paneer,Spinach; Paneer; Onion; Tomato; Garlic; Spices,35,Blanch spinach for smooth texture,"1. Blanch spinach and grind to puree. 2. Sauté onions, garlic, tomatoes, spices. 3. Add spinach puree and cook 5 min. 4. Add paneer cubes and simmer 5-10 min."
Butter Naan,Flour; Yogurt; Yeast; Butter,45,Use high-gluten flour,"1. Mix flour, yogurt, yeast, and knead into dough. 2. Let dough rise 1 hour. 3. Roll dough and cook on hot pan or tandoor. 4. Brush with butter and serve."
Chicken Fried Rice,Chicken; Rice; Egg; Soy Sauce; Peas; Carrot,20,Use high heat for frying,"1. Cook rice and let it cool. 2. Sauté chicken and vegetables. 3. Add beaten eggs and cook. 4. Add rice and soy sauce, stir-fry 5-7 min."
Vegetable Curry,Carrot; Potato; Peas; Onion; Spices; Coconut Milk,35,Cook vegetables until tender,"1. Sauté onions and spices. 2. Add vegetables and cook 10-15 min. 3. Pour coconut milk and simmer 10 min. 4. Serve hot with rice."
Fried Rice,Rice; Egg; Carrot; Peas; Soy Sauce,20,Use day-old rice,"1. Heat oil in pan. 2. Add carrots and peas, sauté 2 min. 3. Add beaten eggs and scramble. 4. Add rice and soy sauce, stir-fry 5 min."
Mac and Cheese,Pasta; Cheese; Milk; Butter; Flour,25,Use cheddar for rich flavor,"1. Cook pasta and drain. 2. Make cheese sauce with butter, flour, and milk. 3. Add cheese and stir until melted. 4. Mix pasta with sauce and serve."
Vegetable Stir Fry,Broccoli; Carrot; Bell Pepper; Soy Sauce; Garlic,15,Cook on high heat quickly,"1. Heat oil in wok. 2. Add garlic and vegetables. 3. Stir-fry 5-7 min. 4. Add soy sauce and serve hot."
Tomato Soup,Tomato; Onion; Garlic; Cream; Salt; Pepper,25,Blend well for smooth texture,"1. Sauté onions and garlic. 2. Add chopped tomatoes and cook 10 min. 3. Blend to smooth. 4. Add cream and simmer 5 min. 5. Serve hot."
Chocolate Cake,Flour; Sugar; Cocoa; Egg; Butter; Baking Powder,60,Preheat oven for even baking,"1. Mix dry ingredients. 2. Add wet ingredients and whisk. 3. Pour batter into greased pan. 4. Bake 30-35 min at 180°C. 5. Cool and serve."
Caesar Salad,Lettuce; Croutons; Parmesan; Caesar Dressing,15,Chill lettuce for freshness,"1. Chop lettuce. 2. Add croutons and parmesan. 3. Pour dressing and toss. 4. Serve chilled."
Tacos,Tortilla; Minced Meat; Lettuce; Tomato; Cheese,30,Warm tortillas before serving,"1. Cook minced meat with spices. 2. Heat tortillas. 3. Fill tortillas with meat, lettuce, tomato, and cheese. 4. Serve hot."
Pasta Alfredo,Pasta; Cream; Parmesan; Butter; Garlic,25,Reserve pasta water for sauce,"1. Cook pasta and drain. 2. Heat butter and garlic. 3. Add cream and parmesan, stir to make sauce. 4. Toss pasta with sauce and serve."
Quiche Lorraine,Egg; Cream; Bacon; Cheese; Pie Crust,50,Blind bake crust first,"1. Pre-bake crust. 2. Sauté bacon and mix with eggs and cream. 3. Pour filling into crust. 4. Bake 30 min at 180°C. 5. Cool and serve."
Greek Salad,Tomato; Cucumber; Onion; Olive; Feta; Olive Oil,10,Serve chilled,"1. Chop vegetables and olives. 2. Add feta cubes. 3. Drizzle olive oil and toss. 4. Serve chilled."
Chicken Sandwich,Bread; Chicken; Lettuce; Tomato; Mayo,15,Toast bread lightly,"1. Cook chicken slices. 2. Toast bread. 3. Assemble sandwich with lettuce, tomato, chicken, and mayo. 4. Serve immediately."
Fish Tacos,Fish; Tortilla; Cabbage; Lime; Mayo,25,Use fresh fish for best taste,"1. Cook fish with spices. 2. Heat tortillas. 3. Fill tortillas with fish, cabbage, lime juice, and mayo. 4. Serve hot."
Lasagna,Lasagna Sheets; Minced Meat; Tomato Sauce; Cheese; Bechamel,70,Layer ingredients evenly,"1. Cook meat and tomato sauce. 2. Layer lasagna sheets, meat sauce, and cheese. 3. Repeat layers and top with bechamel. 4. Bake 35-40 min at 180°C. 5. Serve hot."
Banana Bread,Banana; Flour; Sugar; Egg; Butter,60,Use ripe bananas,"1. Mash bananas. 2. Mix with flour, sugar, egg, and butter. 3. Pour batter into greased pan. 4. Bake 50-55 min at 175°C. 5. Cool and slice."
Chicken Nuggets,Chicken; Flour; Egg; Bread Crumbs; Oil,20,Use medium heat to cook evenly,"1. Cut chicken into bite-size pieces. 2. Coat with flour, egg, and breadcrumbs. 3. Fry in oil until golden. 4. Serve hot."
Spaghetti Carbonara,Pasta; Bacon; Egg; Parmesan; Pepper,20,Use hot pasta to cook eggs,"1. Cook pasta. 2. Fry bacon until crisp. 3. Mix eggs and parmesan. 4. Toss hot pasta with egg mixture and bacon. 5. Serve immediately."
Curry Vegetables,Carrot; Potato; Peas; Onion; Spices; Coconut Milk,30,Cook vegetables until tender,"1. Sauté onions and spices. 2. Add vegetables and cook 10-15 min. 3. Add coconut milk and simmer 5-10 min. 4. Serve hot."
Mushroom Risotto,Rice; Mushroom; Onion; Butter; Parmesan; Stock,35,Stir constantly,"1. Sauté onions and mushrooms. 2. Add rice and toast 2 min. 3. Add stock gradually, stir until rice is creamy. 4. Add parmesan and serve."
Beef Tacos,Beef; Tortilla; Lettuce; Tomato; Cheese,25,Use warm tortillas,"1. Cook beef with spices. 2. Heat tortillas. 3. Fill with beef, lettuce, tomato, and cheese. 4. Serve hot."
Fajitas,Chicken; Bell Pepper; Onion; Tortilla; Spices,30,Marinate meat for flavor,"1. Marinate chicken in spices. 2. Sauté chicken and vegetables. 3. Heat tortillas. 4. Fill with chicken and vegetables. 5. Serve immediately."
Stuffed Peppers,Bell Pepper; Rice; Minced Meat; Tomato; Cheese,40,Bake until peppers soften,"1. Hollow bell peppers. 2. Mix cooked rice and meat. 3. Stuff peppers and top with cheese. 4. Bake 20-25 min at 180°C. 5. Serve hot."
Mac and Cheese,Pasta; Cheese; Milk; Butter; Flour,25,Use cheddar for rich flavor,"1. Cook pasta. 2. Make cheese sauce. 3. Combine pasta and sauce. 4. Serve hot."
Chicken Soup,Chicken; Carrot; Celery; Onion; Stock; Noodles,40,Simmer slowly,"1. Boil chicken in stock. 2. Add vegetables and cook 15 min. 3. Add noodles and cook until done. 4. Serve warm."
Garlic Bread,Bread; Butter; Garlic; Parsley,15,Bake until golden,"1. Mix butter, garlic, and parsley. 2. Spread on bread slices. 3. Bake 10 min at 180°C. 4. Serve hot."
Tuna Salad,Tuna; Lettuce; Tomato; Onion; Mayo,15,Chill before serving,"1. Mix tuna with chopped vegetables and mayo. 2. Chill 10 min. 3. Serve cold."
Chocolate Brownie,Chocolate; Flour; Sugar; Egg; Butter,35,Do not overmix,"1. Melt chocolate and butter. 2. Mix with sugar and eggs. 3. Add flour and fold. 4. Bake 25-30 min at 180°C. 5. Cool and cut."
Veggie Pasta,Pasta; Zucchini; Tomato; Olive Oil; Garlic,20,Use al dente pasta,"1. Cook pasta. 2. Sauté zucchini and garlic. 3. Toss pasta with vegetables and olive oil. 4. Serve hot."
Meatballs,Minced Meat; Breadcrumbs; Egg; Onion; Spices,30,Do not overcook meatballs,"1. Mix meat with breadcrumbs, egg, onion, and spices. 2. Form balls and bake or fry 15-20 min. 3. Serve with sauce."
Roast Chicken,Chicken; Olive Oil; Garlic; Herbs,60,Baste occasionally,"1. Preheat oven. 2. Rub chicken with oil, garlic, and herbs. 3. Roast 45-60 min. 4. Serve hot."
Shepherd's Pie,Minced Meat; Potato; Carrot; Peas; Onion; Butter,50,Top with mashed potato evenly,"1. Cook meat with vegetables. 2. Top with mashed potato. 3. Bake 20-25 min at 180°C. 4. Serve hot."
Crepes,Flour; Milk; Egg; Butter; Sugar,20,Use non-stick pan,"1. Mix flour, milk, egg, sugar. 2. Pour thin batter in pan. 3. Cook both sides. 4. Fill and serve."
Chili Con Carne,Beef; Kidney Beans; Tomato; Onion; Chili Powder,45,Simmer for deeper flavor,"1. Sauté onion and beef. 2. Add beans, tomato, and chili powder. 3. Simmer 20-25 min. 4. Serve hot."
Egg Fried Rice,Egg; Rice; Onion; Peas; Soy Sauce,20,Use cold rice,"1. Heat oil. 2. Sauté onion and peas. 3. Add eggs and scramble. 4. Add rice and soy sauce, stir-fry 5 min."
Pasta Pesto,Pasta; Basil; Garlic; Pine Nuts; Parmesan; Olive Oil,20,Reserve pasta water for smooth sauce,"1. Cook pasta. 2. Blend basil, garlic, pine nuts, parmesan, olive oil. 3. Toss pasta with pesto. 4. Serve immediately."
Vegetable Curry,Carrot; Potato; Peas; Onion; Spices; Coconut Milk,35,Cook vegetables until tender,"1. Sauté onions and spices. 2. Add vegetables and cook 10-15 min. 3. Add coconut milk and simmer 5-10 min. 4. Serve hot."
Biryani,Chicken; Rice; Yogurt; Spices; Onion; Saffron,60,Marinate meat and cook on low flame,"1. Marinate chicken with yogurt and spices for 1 hour. 2. Fry onions until golden. 3. Partially cook rice. 4. Layer chicken and rice, sprinkle saffron water. 5. Cook on low flame for 20-25 min."
Paneer Butter Masala,Paneer; Tomato; Butter; Cream; Spices,40,Use fresh paneer,"1. Sauté onions and tomatoes until soft. 2. Blend into smooth sauce. 3. Cook sauce with butter and spices. 4. Add paneer cubes, simmer 10 min."
Masala Dosa,Rice; Lentils; Potato; Onion; Spices,30,Fry dosa on non-stick pan,"1. Soak rice and lentils overnight. 2. Grind to smooth batter. 3. Prepare spiced potato filling. 4. Pour batter on pan, cook thin dosa. 5. Place filling, fold, and serve."
